0000000624,scans,0000002832,DataLength
"header",0000000021,"lines"
"Date",20/03/2023,"Time",08:43:25
"ID","HAL RC RGA 201 #17294","Version",4
"Scans",1
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Faraday","mass",1.00,200.00,1.00,100.000%,100.000%,1.000000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"curtail-clipping",0,"( 1 = on, 0 = off )"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",500.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",830,"V"
"resolution",0,"%"
"Data",200
"Cycle","Time","ms",   1.00,   2.00,   3.00,   4.00,   5.00,   6.00,   7.00,   8.00,   9.00,  10.00,  11.00,  12.00,  13.00,  14.00,  15.00,  16.00,  17.00,  18.00,  19.00,  20.00,  21.00,  22.00,  23.00,  24.00,  25.00,  26.00,  27.00,  28.00,  29.00,  30.00,  31.00,  32.00,  33.00,  34.00,  35.00,  36.00,  37.00,  38.00,  39.00,  40.00,  41.00,  42.00,  43.00,  44.00,  45.00,  46.00,  47.00,  48.00,  49.00,  50.00,  51.00,  52.00,  53.00,  54.00,  55.00,  56.00,  57.00,  58.00,  59.00,  60.00,  61.00,  62.00,  63.00,  64.00,  65.00,  66.00,  67.00,  68.00,  69.00,  70.00,  71.00,  72.00,  73.00,  74.00,  75.00,  76.00,  77.00,  78.00,  79.00,  80.00,  81.00,  82.00,  83.00,  84.00,  85.00,  86.00,  87.00,  88.00,  89.00,  90.00,  91.00,  92.00,  93.00,  94.00,  95.00,  96.00,  97.00,  98.00,  99.00, 100.00, 101.00, 102.00, 103.00, 104.00, 105.00, 106.00, 107.00, 108.00, 109.00, 110.00, 111.00, 112.00, 113.00, 114.00, 115.00, 116.00, 117.00, 118.00, 119.00, 120.00, 121.00, 122.00, 123.00, 124.00, 125.00, 126.00, 127.00, 128.00, 129.00, 130.00, 131.00, 132.00, 133.00, 134.00, 135.00, 136.00, 137.00, 138.00, 139.00, 140.00, 141.00, 142.00, 143.00, 144.00, 145.00, 146.00, 147.00, 148.00, 149.00, 150.00, 151.00, 152.00, 153.00, 154.00, 155.00, 156.00, 157.00, 158.00, 159.00, 160.00, 161.00, 162.00, 163.00, 164.00, 165.00, 166.00, 167.00, 168.00, 169.00, 170.00, 171.00, 172.00, 173.00, 174.00, 175.00, 176.00, 177.00, 178.00, 179.00, 180.00, 181.00, 182.00, 183.00, 184.00, 185.00, 186.00, 187.00, 188.00, 189.00, 190.00, 191.00, 192.00, 193.00, 194.00, 195.00, 196.00, 197.00, 198.00, 199.00, 200.00
0000000001,00:00:11,0000011378,  5.39111e-08,  1.66087e-08,  5.37499e-11,  5.37499e-11,  5.37499e-11, -5.37499e-11,  5.37499e-11,  5.37499e-11, -5.37499e-11,  5.37499e-11,  5.37499e-11,  1.02124e-09,  2.68749e-10,  2.15268e-07,  2.63374e-09,  5.59536e-08,  1.17766e-07,  5.48087e-07,  2.31124e-09,  1.40287e-08,  5.37499e-11,  3.76249e-10, -5.37499e-11,  5.37499e-11,  5.37499e-11,  6.98748e-10,  1.88124e-09,  5.17611e-06,  4.34836e-08,  2.52624e-09,  5.91249e-10,  1.23732e-06,  2.20374e-09,  4.78374e-09,  5.37499e-11,  4.83749e-10,  5.37499e-11,  1.61249e-10,  8.06248e-10,  9.22886e-08,  1.23624e-09,  1.23624e-09,  6.98748e-10,  3.62811e-08,  5.91249e-10,  1.61249e-10,  5.37499e-11,  1.61249e-10,  5.37499e-11,  5.37499e-11,  5.37499e-11, -5.37499e-11,  5.37499e-11,  5.37499e-11,  1.61249e-10,  1.61249e-10,  5.37499e-11,  1.61249e-10,  5.37499e-11,  1.61249e-10,  5.37499e-11,  5.37499e-11,  5.37499e-11,  5.37499e-11, -5.37499e-11,  5.37499e-11,  5.37499e-11,  5.37499e-11,  5.37499e-11,  5.37499e-11, -5.37499e-11,  5.37499e-11, -5.37499e-11,  5.37499e-11,  5.37499e-11, -5.37499e-11,  5.37499e-11,  1.61249e-10,  5.37499e-11, -5.37499e-11, -5.37499e-11, -5.37499e-11,  5.37499e-11, -5.37499e-11,  5.37499e-11, -5.37499e-11,  5.37499e-11, -5.37499e-11,  5.37499e-11,  5.37499e-11,  5.37499e-11, -5.37499e-11,  5.37499e-11,  1.61249e-10,  5.37499e-11, -5.37499e-11, -5.37499e-11,  5.37499e-11,  5.37499e-11,  5.37499e-11,  5.37499e-11,  5.37499e-11, -5.37499e-11, -5.37499e-11, -5.37499e-11, -5.37499e-11, -5.37499e-11, -5.37499e-11, -5.37499e-11,  5.37499e-11, -5.37499e-11, -5.37499e-11,  5.37499e-11, -5.37499e-11, -5.37499e-11, -5.37499e-11, -5.37499e-11, -5.37499e-11,  5.37499e-11,  5.37499e-11, -5.37499e-11,  5.37499e-11,  5.37499e-11,  5.37499e-11, -5.37499e-11, -5.37499e-11,  5.37499e-11,  5.37499e-11,  5.37499e-11,  5.37499e-11, -5.37499e-11, -5.37499e-11,  5.37499e-11,  5.37499e-11,  5.37499e-11,  5.37499e-11, -5.37499e-11, -5.37499e-11, -5.37499e-11,  5.37499e-11, -5.37499e-11, -5.37499e-11, -5.37499e-11,  5.37499e-11, -5.37499e-11,  5.37499e-11, -5.37499e-11,  5.37499e-11, -5.37499e-11,  5.37499e-11, -5.37499e-11,  5.37499e-11,  5.37499e-11, -5.37499e-11,  5.37499e-11, -5.37499e-11,  5.37499e-11,  5.37499e-11, -5.37499e-11, -5.37499e-11, -5.37499e-11,  5.37499e-11, -5.37499e-11, -5.37499e-11, -5.37499e-11, -1.61249e-10,  5.37499e-11,  5.37499e-11, -5.37499e-11, -5.37499e-11, -5.37499e-11, -5.37499e-11, -5.37499e-11, -1.61249e-10, -5.37499e-11, -1.61249e-10, -5.37499e-11,  5.37499e-11,  5.37499e-11,  5.37499e-11, -5.37499e-11, -5.37499e-11, -5.37499e-11,  5.37499e-11,  5.37499e-11, -5.37499e-11,  5.37499e-11, -5.37499e-11, -5.37499e-11,  5.37499e-11, -5.37499e-11, -5.37499e-11,  5.37499e-11,  5.37499e-11,  5.37499e-11, -5.37499e-11, -5.37499e-11, -5.37499e-11, -5.37499e-11, -5.37499e-11
0000000002,00:01:13,0000073604,  4.94230e-08,  1.04006e-08,  8.06248e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11,  6.18124e-10,  1.88124e-10,  1.72940e-07,  1.15562e-09,  4.63055e-08,  9.54329e-08,  4.34164e-07,  1.80062e-09,  1.07231e-08,  8.06248e-11,  2.95624e-10, -2.68749e-11, -2.68749e-11,  8.06248e-11,  1.88124e-10,  9.40623e-10,  3.89579e-06,  3.59855e-08,  1.69312e-09,  5.10624e-10,  8.96199e-07,  1.80062e-09,  3.95061e-09,  8.06248e-11,  4.03124e-10, -2.68749e-11,  8.06248e-11,  2.95624e-10,  7.66205e-08,  4.03124e-10,  4.03124e-10,  4.03124e-10,  1.80330e-08,  2.95624e-10,  8.06248e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11,  1.88124e-10, -2.68749e-11,  8.06248e-11,  8.06248e-11,  1.88124e-10, -2.68749e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11,  1.88124e-10,  8.06248e-11,  8.06248e-11,  1.88124e-10,  8.06248e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11, -1.34374e-10,  8.06248e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11,  1.88124e-10,  8.06248e-11, -1.34374e-10,  1.88124e-10, -2.68749e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11, -1.34374e-10, -1.34374e-10,  8.06248e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11, -1.34374e-10,  8.06248e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11
0000000003,00:02:15,0000135831,  4.86705e-08,  9.43311e-09,  8.06248e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11,  5.10624e-10,  8.06248e-11,  1.65522e-07,  8.33123e-10,  4.42630e-08,  9.45729e-08,  4.32014e-07,  1.69312e-09,  9.97060e-09, -2.68749e-11,  2.95624e-10, -2.68749e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11,  9.40623e-10,  3.63564e-06,  3.44805e-08,  1.37062e-09,  5.10624e-10,  8.68679e-07,  1.80062e-09,  3.84311e-09,  8.06248e-11,  2.95624e-10,  8.06248e-11,  8.06248e-11,  1.88124e-10,  7.35030e-08,  2.95624e-10,  2.95624e-10,  2.95624e-10,  1.60981e-08,  2.95624e-10,  8.06248e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11,  1.88124e-10,  8.06248e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11, -1.34374e-10, -2.68749e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11,  8.06248e-11,  1.88124e-10, -2.68749e-11,  8.06248e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11, -1.34374e-10, -2.68749e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11,  8.06248e-11
0000000004,00:03:18,0000198058,  4.83749e-08,  9.02998e-09, -1.07499e-10, -1.07499e-10, -1.07499e-10,  0.00000e+00,  0.00000e+00, -1.07499e-10, -1.07499e-10, -1.07499e-10,  0.00000e+00,  4.29999e-10,  0.00000e+00,  1.63722e-07,  8.59998e-10,  4.36449e-08,  9.57823e-08,  4.37524e-07,  1.61249e-09,  9.99748e-09,  0.00000e+00,  2.14999e-10,  0.00000e+00, -1.07499e-10,  0.00000e+00,  0.00000e+00,  8.59998e-10,  3.57221e-06,  3.39699e-08,  1.28999e-09,  4.29999e-10,  8.62041e-07,  1.71999e-09,  3.86999e-09,  0.00000e+00,  2.14999e-10,  0.00000e+00,  1.07499e-10,  3.22499e-10,  7.23473e-08,  2.14999e-10,  0.00000e+00,  2.14999e-10,  1.56949e-08,  2.14999e-10,  0.00000e+00, -1.07499e-10,  1.07499e-10, -1.07499e-10,  0.00000e+00, -1.07499e-10, -1.07499e-10,  0.00000e+00,  0.00000e+00,  0.00000e+00, -1.07499e-10, -1.07499e-10,  1.07499e-10,  0.00000e+00,  1.07499e-10,  0.00000e+00, -1.07499e-10,  0.00000e+00, -1.07499e-10,  0.00000e+00, -1.07499e-10,  0.00000e+00, -1.07499e-10, -1.07499e-10, -1.07499e-10,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00, -1.07499e-10,  0.00000e+00,  0.00000e+00,  1.07499e-10, -1.07499e-10,  0.00000e+00,  0.00000e+00, -1.07499e-10, -1.07499e-10,  0.00000e+00, -1.07499e-10, -1.07499e-10,  0.00000e+00,  0.00000e+00,  0.00000e+00, -1.07499e-10,  0.00000e+00,  0.00000e+00, -1.07499e-10, -1.07499e-10,  0.00000e+00,  0.00000e+00,  0.00000e+00, -1.07499e-10, -1.07499e-10,  0.00000e+00,  0.00000e+00, -1.07499e-10,  0.00000e+00, -1.07499e-10, -1.07499e-10,  0.00000e+00, -1.07499e-10,  0.00000e+00, -1.07499e-10, -1.07499e-10, -1.07499e-10,  0.00000e+00,  0.00000e+00, -1.07499e-10,  0.00000e+00, -1.07499e-10,  0.00000e+00, -1.07499e-10, -1.07499e-10,  0.00000e+00,  0.00000e+00,  0.00000e+00, -1.07499e-10, -1.07499e-10,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00, -1.07499e-10, -1.07499e-10, -1.07499e-10, -1.07499e-10,  0.00000e+00, -1.07499e-10, -1.07499e-10,  0.00000e+00, -1.07499e-10,  0.00000e+00,  0.00000e+00, -1.07499e-10,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00, -1.07499e-10, -1.07499e-10,  0.00000e+00,  0.00000e+00, -1.07499e-10, -1.07499e-10, -1.07499e-10, -1.07499e-10,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00, -1.07499e-10,  0.00000e+00,  0.00000e+00, -1.07499e-10,  1.07499e-10,  0.00000e+00,  0.00000e+00,  0.00000e+00, -1.07499e-10, -1.07499e-10, -1.07499e-10, -1.07499e-10, -2.14999e-10,  0.00000e+00,  0.00000e+00, -1.07499e-10, -1.07499e-10, -2.14999e-10, -1.07499e-10, -1.07499e-10,  0.00000e+00,  0.00000e+00,  0.00000e+00, -1.07499e-10,  0.00000e+00, -1.07499e-10, -1.07499e-10, -1.07499e-10, -1.07499e-10, -1.07499e-10,  0.00000e+00,  0.00000e+00, -1.07499e-10, -1.07499e-10,  0.00000e+00, -1.07499e-10,  0.00000e+00
0000000005,00:04:20,0000260284,  4.77030e-08,  8.78811e-09,  8.06248e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11,  5.10624e-10,  8.06248e-11,  1.62620e-07,  6.18124e-10,  4.34030e-08,  9.53254e-08,  4.35347e-07,  1.80062e-09,  1.00781e-08,  8.06248e-11,  2.95624e-10, -2.68749e-11, -2.68749e-11, -2.68749e-11,  1.88124e-10,  7.25623e-10,  3.54211e-06,  3.37280e-08,  1.26312e-09,  5.10624e-10,  8.58359e-07,  1.80062e-09,  3.84311e-09,  8.06248e-11,  2.95624e-10,  8.06248e-11,  1.88124e-10,  2.95624e-10,  7.19980e-08,  2.95624e-10,  2.95624e-10,  2.95624e-10,  1.56681e-08,  2.95624e-10,  1.88124e-10, -2.68749e-11,  8.06248e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11,  1.88124e-10,  8.06248e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11, -1.34374e-10, -2.68749e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11,  1.88124e-10, -2.68749e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11,  1.88124e-10, -2.68749e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11,  8.06248e-11, -1.34374e-10,  8.06248e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11, -1.34374e-10, -2.68749e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11, -2.68749e-11,  8.06248e-11, -2.68749e-11, -2.68749e-11
0000000006,00:05:22,0000322510,  4.67086e-08,  8.54623e-09, -5.37499e-11,  5.37499e-11,  5.37499e-11,  5.37499e-11,  5.37499e-11, -5.37499e-11,  5.37499e-11,  5.37499e-11,  5.37499e-11,  3.76249e-10,  5.37499e-11,  1.61841e-07,  8.06248e-10,  4.32686e-08,  9.39011e-08,  4.28010e-07,  1.77374e-09,  1.00512e-08,  5.37499e-11,  1.61249e-10,  5.37499e-11, -5.37499e-11,  5.37499e-11,  5.37499e-11,  8.06248e-10,  3.54641e-06,  3.35936e-08,  1.23624e-09,  4.83749e-10,  8.56504e-07,  1.66624e-09,  3.70874e-09,  5.37499e-11,  2.68749e-10, -5.37499e-11,  5.37499e-11,  2.68749e-10,  7.18636e-08,  1.61249e-10,  1.61249e-10,  2.68749e-10,  1.58562e-08,  1.61249e-10,  1.61249e-10,  5.37499e-11,  5.37499e-11,  1.61249e-10,  5.37499e-11,  5.37499e-11,  5.37499e-11,  5.37499e-11, -5.37499e-11,  5.37499e-11,  5.37499e-11,  5.37499e-11,  5.37499e-11,  5.37499e-11, -5.37499e-11,  5.37499e-11,  5.37499e-11,  5.37499e-11,  1.61249e-10,  5.37499e-11,  5.37499e-11, -5.37499e-11,  5.37499e-11, -5.37499e-11,  5.37499e-11,  5.37499e-11, -5.37499e-11, -5.37499e-11, -5.37499e-11,  5.37499e-11,  5.37499e-11, -5.37499e-11, -5.37499e-11, -5.37499e-11, -5.37499e-11,  5.37499e-11,  5.37499e-11,  5.37499e-11,  5.37499e-11,  5.37499e-11, -5.37499e-11, -5.37499e-11,  5.37499e-11,  5.37499e-11,  5.37499e-11,  5.37499e-11,  5.37499e-11,  5.37499e-11, -1.61249e-10,  5.37499e-11, -5.37499e-11, -5.37499e-11,  5.37499e-11, -5.37499e-11, -5.37499e-11, -5.37499e-11,  5.37499e-11,  5.37499e-11, -5.37499e-11,  5.37499e-11,  5.37499e-11, -5.37499e-11,  5.37499e-11, -5.37499e-11,  5.37499e-11, -5.37499e-11,  5.37499e-11, -5.37499e-11, -5.37499e-11, -5.37499e-11, -5.37499e-11,  5.37499e-11, -5.37499e-11, -5.37499e-11, -5.37499e-11, -5.37499e-11, -5.37499e-11, -5.37499e-11,  5.37499e-11,  5.37499e-11, -5.37499e-11, -5.37499e-11, -5.37499e-11,  5.37499e-11, -1.61249e-10, -5.37499e-11, -5.37499e-11, -5.37499e-11,  5.37499e-11,  5.37499e-11, -1.61249e-10, -5.37499e-11,  5.37499e-11, -5.37499e-11, -5.37499e-11,  5.37499e-11, -5.37499e-11, -5.37499e-11,  5.37499e-11, -5.37499e-11, -5.37499e-11, -5.37499e-11,  5.37499e-11, -5.37499e-11,  5.37499e-11,  5.37499e-11, -5.37499e-11,  5.37499e-11,  5.37499e-11, -5.37499e-11, -5.37499e-11, -5.37499e-11,  5.37499e-11,  5.37499e-11, -5.37499e-11,  5.37499e-11, -5.37499e-11,  5.37499e-11, -5.37499e-11, -5.37499e-11,  5.37499e-11, -5.37499e-11,  5.37499e-11, -5.37499e-11, -5.37499e-11, -5.37499e-11, -5.37499e-11, -1.61249e-10,  5.37499e-11, -5.37499e-11,  5.37499e-11, -5.37499e-11, -5.37499e-11,  5.37499e-11, -5.37499e-11, -5.37499e-11,  5.37499e-11,  5.37499e-11, -1.61249e-10, -5.37499e-11, -5.37499e-11,  5.37499e-11,  5.37499e-11, -5.37499e-11, -1.61249e-10, -5.37499e-11, -5.37499e-11, -5.37499e-11, -5.37499e-11,  5.37499e-11, -5.37499e-11,  5.37499e-11, -5.37499e-11, -5.37499e-11, -5.37499e-11
