"","T_tphe_5.0m Ave. (C)","T_tphe_3.75m Ave. (C)","T_tphe_2.5m Ave. (C)","T_iv_gas Ave. (C)","T_tw Ave. (C)","T_exhaust Ave. (C)"
"1679301614","20.261","20.307","20.227","20.373","20.429","21.163"
"1679301624","20.267","20.312","20.231","20.374","20.430","21.156"
"1679301634","20.268","20.313","20.229","20.372","20.430","21.154"
"1679301644","20.272","20.319","20.232","20.375","20.436","21.163"
"1679301654","20.269","20.315","20.226","20.369","20.431","21.171"
"1679301664","20.276","20.321","20.230","20.374","20.436","21.175"
"1679301674","20.277","20.320","20.229","20.372","20.435","21.171"
"1679301684","20.273","20.316","20.223","20.364","20.432","21.178"
"1679301694","20.280","20.321","20.226","20.367","20.436","21.193"
"1679301704","20.277","20.320","20.223","20.366","20.435","21.205"
"1679301714","20.276","20.314","20.215","20.356","20.430","21.228"
"1679301724","20.281","20.321","20.222","20.362","20.436","21.245"
"1679301734","20.291","20.329","20.229","20.369","20.445","21.251"
"1679301744","20.281","20.318","20.217","20.357","20.436","21.243"
"1679301754","20.290","20.324","20.221","20.358","20.438","21.250"
"1679301764","20.295","20.329","20.222","20.363","20.445","21.259"
"1679301774","20.298","20.331","20.228","20.366","20.449","21.255"
"1679301784","20.295","20.329","20.219","20.359","20.442","21.245"
"1679301794","20.295","20.325","20.214","20.353","20.441","21.240"
"1679301804","20.305","20.335","20.224","20.364","20.452","21.247"
"1679301814","20.313","20.341","20.232","20.365","20.457","21.256"
"1679301824","20.318","20.345","20.233","20.366","20.457","21.260"
"1679301834","20.310","20.334","20.222","20.355","20.445","21.257"
"1679301844","20.310","20.335","20.222","20.353","20.447","21.258"
"1679301854","20.313","20.337","20.221","20.349","20.445","21.258"
"1679301864","20.310","20.334","20.218","20.346","20.443","21.270"
"1679301874","20.313","20.339","20.220","20.350","20.443","21.283"
"1679301884","20.317","20.341","20.226","20.355","20.455","21.292"
"1679301894","20.319","20.343","20.222","20.352","20.450","21.300"
"1679301904","20.311","20.335","20.210","20.342","20.440","21.302"
"1679301914","20.316","20.341","20.216","20.345","20.448","21.314"
"1679301924","20.312","20.336","20.214","20.344","20.445","21.301"
"1679301934","20.315","20.341","20.217","20.345","20.446","21.305"
"1679301944","20.323","20.347","20.223","20.350","20.453","21.320"
"1679301954","20.319","20.343","20.215","20.345","20.449","21.322"
"1679301964","20.320","20.345","20.216","20.344","20.450","21.312"
"1679301974","20.320","20.345","20.218","20.347","20.451","21.322"
"1679301984","20.321","20.344","20.218","20.346","20.448","21.328"
"1679301994","20.316","20.338","20.211","20.335","20.441","21.348"
"1679302004","20.319","20.341","20.211","20.338","20.445","21.349"
"1679302014","20.323","20.343","20.212","20.339","20.447","21.362"
"1679302024","20.325","20.348","20.216","20.342","20.452","21.375"
"1679302034","20.331","20.353","20.220","20.344","20.457","21.395"
"1679302044","20.337","20.360","20.226","20.353","20.457","21.415"
"1679302054","20.340","20.359","20.227","20.351","20.461","21.421"
"1679302064","20.331","20.354","20.220","20.348","21.163","21.417"
"1679302074","20.331","20.354","20.222","20.382","26.520","21.398"
"1679302084","20.334","20.353","20.219","20.462","35.568","21.383"
"1679302094","20.339","20.360","20.224","20.606","46.440","21.399"
"1679302104","20.343","20.359","20.224","20.796","57.089","21.401"
"1679302114","20.350","20.362","20.226","21.009","67.792","21.420"
"1679302124","20.353","20.363","20.226","21.274","77.740","21.430"
"1679302134","20.360","20.360","20.223","21.640","87.831","21.430"
"1679302144","20.366","20.358","20.218","22.114","97.905","21.438"
"1679302154","20.380","20.361","20.219","22.637","107.617","21.457"
"1679302164","20.394","20.366","20.222","23.226","117.649","21.464"
"1679302174","20.416","20.368","20.223","23.844","127.327","21.491"
"1679302184","20.435","20.368","20.222","24.541","137.291","21.498"
"1679302194","20.458","20.371","20.221","25.274","146.859","21.496"
"1679302204","20.487","20.380","20.223","26.105","156.273","21.492"
"1679302214","20.519","20.379","20.223","27.003","165.073","21.483"
"1679302224","20.558","20.392","20.233","27.945","173.770","21.486"
"1679302234","20.596","20.403","20.237","28.986","182.771","21.490"
"1679302244","20.643","20.413","20.240","30.062","191.353","21.514"
"1679302254","20.696","20.433","20.255","31.245","200.096","21.536"
"1679302264","20.746","20.444","20.259","32.441","208.506","21.554"
"1679302274","20.787","20.451","20.259","33.743","217.255","21.559"
"1679302284","20.833","20.451","20.256","35.108","225.569","21.560"
"1679302294","20.875","20.458","20.250","36.498","233.281","21.551"
"1679302304","20.935","20.472","20.253","38.010","241.046","21.550"
"1679302314","20.995","20.487","20.262","39.535","248.352","21.552"
"1679302324","21.045","20.489","20.253","41.160","256.213","21.551"
"1679302334","21.116","20.513","20.266","42.806","263.844","21.576"
"1679302344","21.176","20.526","20.266","44.553","270.907","21.562"
"1679302354","21.247","20.546","20.275","46.367","277.497","21.563"
"1679302364","21.307","20.560","20.275","48.162","283.558","21.569"
"1679302374","21.384","20.580","20.284","50.079","289.607","21.590"
"1679302384","21.458","20.607","20.295","51.967","295.240","21.602"
"1679302394","21.528","20.625","20.296","53.958","300.866","21.622"
"1679302404","21.610","20.651","20.309","55.923","306.102","21.623"
"1679302414","21.690","20.676","20.318","57.996","311.325","21.606"
"1679302424","21.773","20.706","20.331","60.098","316.362","21.596"
"1679302434","21.853","20.732","20.340","62.149","321.045","21.595"
"1679302444","21.942","20.762","20.351","64.299","325.706","21.601"
"1679302454","22.031","20.793","20.366","66.402","330.042","21.616"
"1679302464","22.145","20.845","20.414","68.596","334.364","21.629"
"1679302474","22.199","20.875","20.430","70.727","338.382","21.629"
"1679302484","22.277","20.908","20.440","72.801","342.118","21.635"
"1679302494","22.358","20.934","20.444","75.099","346.102","21.629"
"1679302504","22.468","20.984","20.467","77.355","349.815","21.647"
"1679302514","22.569","21.025","20.479","79.598","353.357","21.658"
"1679302524","22.673","21.067","20.498","81.784","356.648","21.665"
"1679302534","22.777","21.107","20.510","84.042","359.917","21.660"
"1679302544","22.881","21.147","20.525","86.220","362.949","21.645"
"1679302554","22.993","21.187","20.542","88.476","365.964","21.648"
"1679302564","23.107","21.237","20.564","90.733","368.839","21.664"
"1679302574","23.230","21.290","20.589","92.916","371.501","21.675"
"1679302584","23.345","21.337","20.604","95.157","374.133","21.657"
"1679302594","23.470","21.393","20.635","97.323","376.589","21.660"
"1679302604","23.593","21.444","20.660","99.547","379.026","21.679"
"1679302614","23.718","21.496","20.684","101.692","381.298","21.700"
"1679302624","23.852","21.555","20.713","103.907","383.563","21.711"
"1679302634","23.985","21.614","20.740","106.107","385.735","21.706"
"1679302644","24.108","21.668","20.766","108.216","387.747","21.704"
"1679302654","24.240","21.724","20.790","110.387","389.742","21.708"
"1679302664","24.363","21.771","20.812","112.466","391.537","21.702"
"1679302674","24.501","21.835","20.843","114.555","393.090","21.694"
"1679302684","24.629","21.892","20.869","116.558","394.677","21.680"
"1679302694","24.781","21.969","20.914","118.642","396.358","21.693"
"1679302704","24.925","22.034","20.948","120.715","398.000","21.690"
"1679302714","25.062","22.101","20.981","122.713","399.539","21.684"
"1679302724","25.217","22.179","21.025","124.782","401.079","21.692"
"1679302734","25.360","22.242","21.055","126.758","402.533","21.679"
"1679302744","25.507","22.309","21.089","128.787","403.983","21.678"
"1679302754","25.679","22.397","21.141","130.822","405.386","21.691"
"1679302764","25.839","22.477","21.186","132.774","406.682","21.693"
"1679302774","25.999","22.551","21.225","134.767","407.979","21.695"
"1679302784","26.167","22.634","21.275","136.686","409.197","21.708"
"1679302794","26.336","22.713","21.317","138.645","410.401","21.684"
"1679302804","26.508","22.799","21.367","140.539","411.546","21.688"
"1679302814","26.685","22.882","21.415","142.491","412.695","21.694"
"1679302824","26.868","22.976","21.471","144.434","413.819","21.705"
"1679302834","27.037","23.054","21.515","146.283","414.862","21.696"
"1679302844","27.231","23.156","21.576","148.199","415.929","21.713"
"1679302854","27.418","23.248","21.631","150.026","416.932","21.709"
"1679302864","27.605","23.339","21.680","151.896","417.934","21.708"
"1679302874","27.791","23.431","21.738","153.694","418.884","21.704"
"1679302884","27.994","23.531","21.797","155.541","419.847","21.701"
"1679302894","28.196","23.632","21.858","157.371","420.788","21.707"
"1679302904","28.395","23.733","21.922","159.125","421.673","21.707"
"1679302914","28.606","23.836","21.985","160.926","422.583","21.698"
"1679302924","28.817","23.944","22.050","162.656","423.451","21.702"
"1679302934","29.035","24.057","22.122","164.434","424.333","21.702"
"1679302944","29.252","24.167","22.194","166.142","425.175","21.713"
"1679302954","29.469","24.273","22.258","167.882","426.023","21.708"
"1679302964","29.693","24.390","22.330","169.612","426.860","21.712"
"1679302974","29.887","24.496","22.408","171.273","427.652","21.715"
"1679302984","30.104","24.617","22.489","172.992","428.472","21.728"
"1679302994","30.329","24.737","22.574","174.629","429.248","21.728"
"1679303004","30.566","24.862","22.653","176.277","430.040","21.739"
"1679303014","30.803","24.987","22.736","177.887","430.798","21.750"
"1679303024","31.052","25.111","22.813","179.542","431.571","21.742"
"1679303034","31.301","25.243","22.897","181.194","432.340","21.737"
"1679303044","31.546","25.366","22.976","182.775","433.082","21.736"
"1679303054","31.804","25.501","23.062","184.406","433.851","21.738"
"1679303064","32.062","25.638","23.153","185.976","434.584","21.739"
"1679303074","32.325","25.774","23.243","187.587","435.329","21.753"
"1679303084","32.579","25.905","23.328","189.131","436.036","21.751"
"1679303094","32.850","26.046","23.423","190.726","436.773","21.748"
"1679303104","33.124","26.193","23.521","192.315","437.506","21.757"
"1679303114","33.383","26.330","23.609","193.832","438.193","21.758"
"1679303124","33.660","26.479","23.710","195.403","438.881","21.767"
"1679303134","33.939","26.625","23.812","196.914","439.545","21.772"
"1679303144","34.223","26.780","23.916","198.460","440.224","21.772"
"1679303154","34.487","26.919","24.009","199.942","440.870","21.771"
"1679303164","34.768","27.063","24.107","201.457","441.538","21.760"
"1679303174","35.053","27.216","24.207","202.973","442.201","21.757"
"1679303184","35.339","27.370","24.315","204.434","442.842","21.764"
"1679303194","35.643","27.534","24.431","205.943","443.503","21.785"
"1679303204","35.928","27.684","24.529","207.378","444.125","21.774"
"1679303214","36.233","27.846","24.641","208.867","444.779","21.774"
"1679303224","36.535","28.014","24.762","210.308","445.416","21.780"
"1679303234","36.845","28.179","24.875","211.784","446.068","21.781"
"1679303244","37.164","28.354","24.997","213.259","446.716","21.780"
"1679303254","37.462","28.516","25.109","214.670","447.323","21.787"
"1679303264","37.782","28.690","25.227","216.122","447.943","21.787"
"1679303274","38.103","28.866","25.351","217.529","448.546","21.796"
"1679303284","38.428","29.044","25.479","218.974","449.156","21.808"
"1679303294","38.741","29.216","25.599","220.359","449.743","21.807"
"1679303304","39.077","29.399","25.728","221.786","450.356","21.801"
"1679303314","39.406","29.576","25.854","223.198","450.965","21.800"
"1679303324","39.735","29.761","25.984","224.565","451.555","21.810"
"1679303334","40.082","29.952","26.124","225.977","452.167","21.837"
"1679303344","40.407","30.132","26.249","227.325","452.753","21.831"
"1679303354","40.757","30.326","26.393","228.725","453.361","21.839"
"1679303364","41.094","30.515","26.530","230.068","453.938","21.845"
"1679303374","41.450","30.715","26.675","231.455","454.532","21.846"
"1679303384","41.806","30.917","26.825","232.835","455.126","21.850"
"1679303394","42.146","31.101","26.961","234.153","455.688","21.844"
"1679303404","42.497","31.298","27.104","235.515","456.269","21.838"
"1679303414","42.854","31.502","27.254","236.831","456.831","21.834"
"1679303424","43.208","31.700","27.399","238.178","457.398","21.836"
"1679303434","43.573","31.913","27.556","239.487","457.957","21.851"
"1679303444","43.942","32.121","27.716","240.829","458.527","21.851"
"1679303454","44.311","32.332","27.870","242.155","459.092","21.850"
"1679303464","44.675","32.536","28.021","243.430","459.642","21.855"
"1679303474","45.060","32.759","28.186","244.756","460.219","21.858"
"1679303484","45.424","32.970","28.340","245.987","460.756","21.857"
"1679303494","45.793","33.176","28.495","247.249","461.298","21.845"
"1679303504","46.199","33.412","28.669","248.604","461.877","21.857"
"1679303514","46.597","33.642","28.840","249.908","462.425","21.864"
"1679303524","46.985","33.857","28.998","251.188","462.962","21.847"
"1679303534","47.375","34.085","29.171","252.431","463.480","21.860"
"1679303544","47.783","34.325","29.348","253.712","464.007","21.864"
"1679303554","48.173","34.550","29.518","254.938","464.506","21.855"
"1679303564","48.583","34.791","29.697","256.207","465.027","21.850"
"1679303574","48.980","35.020","29.871","257.420","465.532","21.857"
"1679303584","49.395","35.261","30.052","258.675","466.056","21.852"
"1679303594","49.816","35.512","30.239","259.931","466.583","21.864"
"1679303604","50.219","35.749","30.419","261.129","467.089","21.862"
"1679303614","50.638","35.997","30.601","262.364","467.635","21.857"
"1679303624","51.063","36.249","30.793","263.597","468.199","21.859"
"1679303634","51.472","36.492","30.972","264.776","468.749","21.852"
"1679303644","51.895","36.746","31.165","265.967","469.303","21.854"
"1679303654","52.327","37.003","31.356","267.192","469.864","21.854"
"1679303664","52.769","37.265","31.557","268.416","470.420","21.861"
"1679303674","53.184","37.512","31.740","269.582","470.940","21.858"
"1679303684","53.609","37.762","31.927","270.779","471.471","21.840"
"1679303694","54.043","38.029","32.127","271.953","472.010","21.847"
"1679303704","54.488","38.296","32.335","273.151","472.553","21.852"
"1679303714","54.914","38.555","32.527","274.303","473.083","21.861"
"1679303724","55.377","38.839","32.747","275.507","473.619","21.879"
"1679303734","55.834","39.118","32.962","276.699","474.151","21.882"
"1679303744","56.270","39.393","33.202","277.849","474.663","21.874"
"1679303754","56.635","39.671","33.481","279.024","475.188","21.870"
"1679303764","57.027","39.948","33.737","280.152","475.696","21.866"
"1679303774","57.468","40.248","33.994","281.318","476.227","21.884"
"1679303784","57.922","40.546","34.234","282.450","476.748","21.889"
"1679303794","58.395","40.848","34.472","283.606","477.275","21.879"
"1679303804","58.876","41.151","34.697","284.756","477.793","21.875"
"1679303814","59.356","41.451","34.926","285.870","478.302","21.881"
"1679303824","59.817","41.747","35.172","287.006","478.815","21.872"
"1679303834","60.262","42.046","35.417","288.107","479.316","21.867"
"1679303844","60.753","42.368","35.667","289.254","479.847","21.888"
"1679303854","61.248","42.689","35.908","290.377","480.363","21.886"
"1679303864","61.748","42.992","36.128","291.478","480.855","21.886"
"1679303874","62.264","43.311","36.361","292.602","481.379","21.877"
"1679303884","62.765","43.620","36.579","293.684","481.880","21.883"
"1679303894","63.280","43.937","36.811","294.797","482.404","21.893"
"1679303904","63.777","44.243","37.029","295.870","482.910","21.874"
"1679303914","64.290","44.564","37.266","296.975","483.431","21.863"
"1679303924","64.788","44.889","37.509","298.075","483.953","21.867"
"1679303934","65.308","45.206","37.750","299.160","484.482","21.868"
"1679303944","65.829","45.532","37.992","300.260","485.026","21.869"
"1679303954","66.335","45.851","38.230","301.318","485.555","21.872"
"1679303964","66.863","46.189","38.482","302.420","486.111","21.878"
"1679303974","67.377","46.511","38.727","303.501","486.650","21.865"
"1679303984","67.884","46.837","38.972","304.554","487.181","21.863"
"1679303994","68.389","47.161","39.220","305.598","487.705","21.856"
"1679304004","68.916","47.500","39.481","306.683","488.253","21.857"
"1679304014","69.449","47.841","39.745","307.762","488.781","21.859"
"1679304024","69.969","48.176","40.002","308.803","489.269","21.870"
"1679304034","70.509","48.528","40.272","309.879","489.806","21.876"
"1679304044","71.046","48.876","40.538","310.944","490.348","21.875"
"1679304054","71.573","49.220","40.807","311.976","490.889","21.879"
"1679304064","72.098","49.561","41.070","313.004","491.427","21.875"
"1679304074","72.644","49.918","41.348","314.067","491.988","21.870"
"1679304084","73.192","50.278","41.627","315.129","492.550","21.868"
"1679304094","73.726","50.628","41.904","316.152","493.094","21.874"
"1679304104","74.273","50.985","42.183","317.204","493.649","21.880"
"1679304114","74.829","51.352","42.470","318.255","494.211","21.885"
"1679304124","75.368","51.703","42.742","319.270","494.745","21.883"
"1679304134","75.912","52.063","43.026","320.283","495.276","21.889"
"1679304144","76.476","52.433","43.315","321.320","495.815","21.891"
"1679304154","77.050","52.816","43.612","322.367","496.361","21.924"
"1679304164","77.596","53.177","43.891","323.366","496.875","21.937"
"1679304174","78.167","53.551","44.185","324.396","497.411","21.927"
"1679304184","78.743","53.935","44.486","325.428","497.956","21.898"
"1679304194","79.292","54.303","44.775","326.416","498.469","21.888"
"1679304204","79.858","54.682","45.076","327.411","498.990","21.898"
"1679304214","80.435","55.071","45.387","328.432","499.521","21.899"
"1679304224","81.024","55.470","45.706","329.458","500.062","21.917"
"1679304234","81.592","55.849","46.007","330.436","500.581","21.923"
"1679304244","82.182","56.251","46.331","331.454","501.124","21.932"
"1679304254","82.775","56.652","46.654","332.469","501.661","21.937"
"1679304264","83.343","57.040","46.964","333.441","502.168","21.937"
"1679304274","83.913","57.428","47.272","334.406","502.678","21.941"
"1679304284","84.507","57.831","47.598","335.402","503.207","21.952"
"1679304294","85.107","58.244","47.934","336.405","503.742","21.954"
"1679304304","85.687","58.641","48.253","337.367","504.263","21.947"
"1679304314","86.287","59.053","48.584","338.359","504.798","21.941"
"1679304324","86.898","59.474","48.925","339.351","505.343","21.947"
"1679304334","87.492","59.885","49.260","340.316","505.879","21.949"
"1679304344","88.081","60.293","49.590","341.268","506.408","21.952"
"1679304354","88.702","60.721","49.934","342.253","506.968","21.961"
"1679304364","89.320","61.140","50.270","343.231","507.515","21.963"
"1679304374","89.915","61.552","50.603","344.173","508.045","21.955"
"1679304384","90.549","61.995","50.963","345.163","508.609","21.959"
"1679304394","91.175","62.425","51.309","346.136","509.153","21.974"
"1679304404","91.783","62.845","51.643","347.074","509.682","21.989"
"1679304414","92.391","63.268","51.980","348.010","510.213","21.983"
"1679304424","93.021","63.701","52.323","348.970","510.756","21.981"
"1679304434","93.666","64.147","52.679","349.944","511.307","21.992"
"1679304444","94.268","64.567","53.012","350.845","511.817","21.999"
"1679304454","94.930","65.027","53.378","351.836","512.372","22.005"
"1679304464","95.534","65.446","53.715","352.731","512.880","22.022"
"1679304474","96.150","65.879","54.060","353.647","513.391","22.019"
"1679304484","96.779","66.340","54.465","354.605","513.935","22.024"
"1679304494","97.391","66.790","54.859","355.548","514.462","22.002"
"1679304504","98.058","67.273","55.268","356.534","515.016","22.015"
"1679304514","98.688","67.723","55.638","357.446","515.530","22.016"
"1679304524","99.343","68.193","56.019","358.388","516.066","22.014"
"1679304534","100.010","68.666","56.397","359.328","516.608","22.008"
"1679304544","100.645","69.116","56.757","360.228","517.132","21.997"
"1679304554","101.292","69.575","57.132","361.137","517.655","21.995"
"1679304564","101.977","70.065","57.526","362.083","518.191","22.015"
"1679304574","102.654","70.546","57.918","363.022","518.723","22.028"
"1679304584","103.293","70.999","58.280","363.907","519.218","22.023"
"1679304594","103.970","71.480","58.665","364.833","519.742","22.034"
"1679304604","104.650","71.960","59.053","365.758","520.268","22.036"
"1679304614","105.311","72.429","59.435","366.656","520.782","22.035"
"1679304624","105.972","72.785","59.816","367.547","521.294","22.033"
"1679304634","106.663","73.148","60.207","368.469","521.826","22.034"
"1679304644","107.354","73.559","60.597","369.384","522.356","22.047"
"1679304654","108.018","73.985","60.975","370.267","522.871","22.054"
"1679304664","108.709","74.444","61.367","371.176","523.391","22.048"
"1679304674","109.395","74.918","61.762","372.078","523.904","22.049"
"1679304684","110.072","75.395","62.156","372.962","524.402","22.053"
"1679304694","110.751","75.874","62.550","373.841","524.901","22.061"
"1679304704","111.446","76.365","62.954","374.740","525.406","22.063"
"1679304714","112.140","76.864","63.363","375.634","525.895","22.057"
"1679304724","112.824","77.356","63.773","376.505","526.383","22.072"
"1679304734","113.523","77.868","64.197","377.405","526.890","22.093"
"1679304744","114.220","78.372","64.612","378.293","527.383","22.091"
"1679304754","114.898","78.871","65.021","379.149","527.862","22.087"
"1679304764","115.573","79.363","65.427","379.998","528.336","22.075"
"1679304774","116.281","79.881","65.852","380.883","528.838","22.080"
"1679304784","117.008","80.416","66.295","381.777","529.355","22.093"
"1679304794","117.692","80.924","66.712","382.627","529.835","22.092"
"1679304804","118.391","81.439","67.133","383.491","530.320","22.084"
"1679304814","119.116","81.977","67.581","384.379","530.817","22.100"
"1679304824","119.809","82.491","68.005","385.220","531.287","22.088"
"1679304834","120.515","83.020","68.440","386.071","531.767","22.099"
"1679304844","121.246","83.561","68.891","386.942","532.257","22.112"
"1679304854","121.981","84.106","69.341","387.815","532.749","22.111"
"1679304864","122.676","84.624","69.764","388.640","533.226","22.101"
"1679304874","123.413","85.173","70.212","389.507","533.708","22.103"
"1679304884","124.143","85.720","70.659","390.365","534.193","22.101"
"1679304894","124.851","86.248","71.090","391.175","534.650","22.096"
"1679304904","125.566","86.786","71.528","392.018","535.131","22.102"
"1679304914","126.336","87.366","71.997","392.905","535.635","22.105"
"1679304924","127.046","87.895","72.427","393.720","536.100","22.093"
"1679304934","127.776","88.443","72.871","394.550","536.584","22.098"
"1679304944","128.515","89.001","73.322","395.395","537.063","22.126"
"1679304954","129.249","89.552","73.765","396.228","537.537","22.123"
"1679304964","129.973","90.122","74.222","397.072","538.019","22.120"
"1679304974","130.703","90.660","74.657","397.866","538.481","22.125"
"1679304984","131.460","91.239","75.121","398.707","538.973","22.144"
"1679304994","132.207","91.808","75.582","399.543","539.454","22.147"
"1679305004","132.937","92.382","76.047","400.369","539.953","22.151"
"1679305014","133.692","92.956","76.518","401.194","540.462","22.144"
"1679305024","134.444","93.537","76.999","402.032","540.978","22.142"
"1679305034","135.174","94.093","77.459","402.825","541.468","22.147"
"1679305044","135.897","94.668","77.930","403.641","541.968","22.156"
"1679305054","136.677","95.273","78.424","404.499","542.494","22.167"
"1679305064","137.405","95.841","78.894","405.298","542.992","22.163"
"1679305074","138.139","96.418","79.370","406.104","543.499","22.156"
"1679305084","138.904","97.010","79.861","406.938","544.020","22.144"
"1679305094","139.666","97.597","80.353","407.760","544.536","22.137"
"1679305104","140.409","98.174","80.841","408.569","545.036","22.142"
"1679305114","141.159","98.755","81.335","409.369","545.527","22.152"
"1679305124","141.953","99.382","81.871","410.228","546.051","22.159"
"1679305134","142.690","99.970","82.375","411.022","546.534","22.151"
"1679305144","143.438","100.555","82.878","411.817","547.022","22.145"
"1679305154","144.216","101.156","83.393","412.642","547.521","22.142"
"1679305164","144.995","101.764","83.906","413.459","548.013","22.146"
"1679305174","145.754","102.363","84.400","414.255","548.498","22.154"
"1679305184","146.517","102.963","84.895","415.047","548.990","22.170"
"1679305194","147.321","103.598","85.413","415.883","549.500","22.170"
"1679305204","148.080","104.200","85.905","416.669","549.986","22.167"
"1679305214","148.845","104.809","86.406","417.459","550.472","22.163"
"1679305224","149.640","105.442","86.922","418.274","550.972","22.177"
"1679305234","150.434","106.077","87.442","419.090","551.472","22.177"
"1679305244","151.207","106.685","87.946","419.874","551.955","22.181"
"1679305254","151.995","107.289","88.451","420.651","552.439","22.201"
"1679305264","152.812","107.946","88.995","421.491","552.963","22.202"
"1679305274","153.575","108.561","89.502","422.267","553.445","22.216"
"1679305284","154.338","109.175","90.008","423.042","553.921","22.223"
"1679305294","155.127","109.823","90.549","423.849","554.420","22.224"
"1679305304","155.912","110.474","91.099","424.648","554.915","22.220"
"1679305314","156.667","111.099","91.630","425.420","555.383","22.214"
"1679305324","157.418","111.724","92.164","426.179","555.838","22.205"
"1679305334","158.237","112.404","92.755","427.005","556.338","22.214"
"1679305344","159.005","113.043","93.305","427.776","556.813","22.219"
"1679305354","159.758","113.666","93.850","428.532","557.272","22.199"
"1679305364","160.550","114.332","94.437","429.322","557.763","22.194"
"1679305374","161.349","114.996","95.031","430.117","558.254","22.203"
"1679305384","162.116","115.642","95.603","430.877","558.719","22.200"
"1679305394","162.889","116.294","96.184","431.640","559.182","22.203"
"1679305404","163.715","116.987","96.795","432.454","559.675","22.209"
"1679305414","164.491","117.637","97.361","433.211","560.138","22.208"
"1679305424","165.274","118.292","97.929","433.971","560.604","22.212"
"1679305434","166.074","118.962","98.503","434.747","561.083","22.217"
"1679305444","166.885","119.640","99.081","435.526","561.565","22.218"
"1679305454","167.662","120.298","99.642","436.279","562.026","22.217"
"1679305464","168.435","120.958","100.208","437.025","562.487","22.219"
"1679305474","169.274","121.676","100.820","437.835","563.007","22.231"
"1679305484","169.979","122.286","101.365","438.522","563.450","22.217"
"1679305494","170.765","122.979","101.993","439.299","563.951","22.215"
"1679305504","171.590","123.702","102.630","440.103","564.462","22.216"
"1679305514","172.400","124.401","103.228","440.874","564.947","22.209"
"1679305524","173.188","125.080","103.804","441.623","565.415","22.219"
"1679305534","173.967","125.756","104.375","442.361","565.878","22.223"
"1679305544","174.811","126.475","104.989","443.150","566.355","22.215"
"1679305554","175.611","127.164","105.585","443.892","566.785","22.224"
"1679305564","176.394","127.842","106.179","444.623","567.189","22.221"
"1679305574","177.212","128.555","106.806","445.388","567.639","22.234"
"1679305584","178.021","129.262","107.426","446.142","568.095","22.230"
"1679305594","178.806","129.948","108.030","446.871","568.540","22.232"
"1679305604","179.585","130.629","108.627","447.592","568.980","22.232"
"1679305614","180.427","131.370","109.274","448.371","569.467","22.235"
"1679305624","181.200","132.056","109.869","449.092","569.908","22.228"
"1679305634","181.988","132.756","110.480","449.821","570.363","22.237"
"1679305644","182.803","133.476","111.115","450.567","570.832","22.247"
"1679305654","183.596","134.204","111.830","451.312","571.298","22.243"
"1679305664","184.341","134.917","112.519","452.034","571.752","22.257"
"1679305674","185.102","135.625","113.169","452.754","572.209","22.272"
"1679305684","185.917","136.385","113.853","453.516","572.693","22.261"
"1679305694","186.693","137.105","114.490","454.239","573.153","22.262"
"1679305704","187.501","137.835","115.120","454.969","573.618","22.283"
"1679305714","188.314","138.567","115.737","455.700","574.070","22.276"
"1679305724","189.137","139.303","116.354","456.434","574.523","22.274"
"1679305734","189.943","140.022","116.948","457.148","574.975","22.276"
"1679305744","190.749","140.748","117.544","457.865","575.431","22.297"
"1679305754","191.598","141.515","118.176","458.618","575.907","22.297"
"1679305764","192.407","142.245","118.773","459.335","576.365","22.306"
"1679305774","193.211","142.969","119.364","460.040","576.816","22.301"
"1679305784","194.043","143.723","119.985","460.781","577.290","22.293"
"1679305794","194.857","144.470","120.612","461.507","577.746","22.285"
"1679305804","195.653","145.198","121.233","462.214","578.194","22.290"
"1679305814","196.441","145.921","121.848","462.914","578.623","22.285"
"1679305824","197.289","146.698","122.511","463.662","579.080","22.267"
"1679305834","198.092","147.432","123.137","464.363","579.517","22.269"
"1679305844","198.894","148.159","123.750","465.058","579.949","22.268"
"1679305854","199.719","148.912","124.381","465.775","580.394","22.269"
"1679305864","200.540","149.661","125.014","466.489","580.848","22.277"
"1679305874","201.331","150.391","125.636","467.196","581.294","22.281"
"1679305884","202.137","151.135","126.244","467.882","581.730","22.285"
"1679305894","203.019","151.921","126.905","468.622","582.195","22.277"
"1679305904","203.857","152.662","127.535","469.315","582.635","22.277"
"1679305914","204.657","153.404","128.178","470.005","583.071","22.277"
"1679305924","205.466","154.169","128.845","470.716","583.520","22.287"
"1679305934","206.270","154.937","129.518","471.421","583.972","22.307"
"1679305944","207.052","155.686","130.173","472.112","584.408","22.313"
"1679305954","207.823","156.429","130.816","472.790","584.835","22.314"
"1679305964","208.662","157.232","131.507","473.518","585.295","22.311"
"1679305974","209.447","157.979","132.140","474.198","585.728","22.312"
"1679305984","210.239","158.734","132.785","474.880","586.167","22.319"
"1679305994","211.083","159.536","133.472","475.605","586.616","22.319"
"1679306004","211.892","160.292","134.113","476.278","587.031","22.330"
"1679306014","212.730","161.058","134.763","476.961","587.456","22.327"
"1679306024","213.633","161.823","135.399","477.638","587.877","22.332"
"1679306034","214.575","162.630","136.063","478.352","588.323","22.326"
"1679306044","215.407","163.388","136.719","479.034","588.759","22.323"
"1679306054","216.215","164.147","137.336","479.691","589.184","22.329"
"1679306064","217.066","164.956","138.031","480.403","589.650","22.327"
"1679306074","217.874","165.724","138.687","481.077","590.071","22.338"
"1679306084","218.664","166.482","139.339","481.744","590.492","22.329"
